m,k,n,runs,threads,seq_mean_ms,seq_std_ms,par_mean_ms,par_std_ms,speedup
300,300,300,5,4,659.7289,2.3698025877697,185.55252000000002,9.057583722329033,3.55548337473401
300,300,300,5,8,659.72626,1.0551032285989586,176.55374,15.232072537839358,3.7366881041432483
256,256,256,5,1,411.39007999999995,3.08908864343516,408.9689,2.0483994813024116,1.0059202056684504
256,256,256,5,2,409.06622,1.164352179110766,208.11808000000002,0.47287283385706025,1.9655486923577228
256,256,256,5,4,410.91334000000006,2.222635367756034,109.93244,1.6203206574625897,3.7378715509270974
384,384,384,5,1,1389.3857,6.282733098341872,1392.4228600000001,10.526509184577836,0.9978187947876695
384,384,384,5,2,1397.98488,20.185537849831977,709.69168,11.409858567791261,1.9698482022503068
384,384,384,5,4,1452.3847799999999,66.1269295422221,366.22884000000005,1.1547493334053072,3.9657848355143184
512,512,512,7,8,3384.5838000000003,133.22964556773147,911.6825571428571,55.88870577921975,3.712458655134332
